               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13938,            0.051433,            0.034287,                   0,                   0,                   0,                   0,            0.097625,            0.032739,            0.029158,             0.00019,             0.00019,             0.09829
                   1,             0.13605,            0.040833,            0.030695,             0.62451,           0.0017794,          0.00074271,          0.00014852,            0.091581,            0.042949,             0.02135,          0.00038862,          0.00038862,            0.096489
                   2,             0.13036,            0.042994,              0.0262,             0.50621,           0.0053381,          0.00092983,           0.0002092,            0.087951,            0.050298,            0.017239,          0.00058166,          0.00058166,            0.094682
                   3,               0.121,            0.044264,            0.022447,            0.045403,            0.082216,            0.010613,            0.001926,            0.083061,            0.054442,            0.014983,          0.00076504,          0.00076504,            0.092865
                   4,             0.12004,             0.04362,            0.018622,             0.12417,             0.20716,            0.054482,           0.0089237,            0.076593,            0.058792,             0.01226,          0.00093489,          0.00093489,            0.091035
                   5,             0.11211,            0.044299,            0.014779,             0.17981,             0.22141,             0.09994,             0.01814,            0.068412,            0.059619,           0.0088117,           0.0010877,           0.0010877,            0.089188
                   6,            0.098785,             0.04762,            0.011341,             0.23746,             0.35958,             0.18718,            0.037546,            0.060292,             0.06142,           0.0063131,           0.0012205,           0.0012205,             0.08732
                   7,            0.094215,            0.048396,           0.0086584,              0.2275,             0.42116,             0.22534,             0.04955,            0.057991,            0.058856,           0.0040529,           0.0013306,           0.0013306,            0.085431
                   8,            0.098165,            0.045282,            0.006913,             0.34578,             0.39483,             0.31249,            0.069039,            0.055185,            0.061438,           0.0034248,           0.0014161,           0.0014161,            0.083516
                   9,            0.091912,            0.048429,           0.0062018,             0.42452,              0.4351,             0.38258,             0.10705,            0.054114,            0.062388,           0.0027504,           0.0014758,           0.0014758,            0.081576
                  10,             0.08508,            0.049579,           0.0049865,             0.41095,             0.43896,             0.38505,            0.098694,            0.051419,             0.06469,           0.0023186,            0.001509,            0.001509,            0.079609
                  11,            0.079868,            0.053344,           0.0043098,             0.34872,             0.56463,             0.38457,             0.10785,            0.051639,            0.064118,           0.0019993,            0.001516,            0.001516,            0.077616
                  12,            0.079819,            0.057429,           0.0043746,             0.42566,             0.55464,             0.41808,             0.10799,            0.044168,             0.06712,           0.0018332,           0.0014977,           0.0014977,            0.075598
                  13,            0.074474,            0.054894,           0.0038423,             0.46444,             0.55716,             0.47833,              0.1372,            0.045599,            0.065787,           0.0014828,           0.0014557,           0.0014557,            0.073556
                  14,            0.070861,             0.05279,           0.0033014,             0.44429,             0.55206,             0.42482,             0.11197,            0.043357,            0.065572,           0.0013774,           0.0013924,           0.0013924,            0.071492
                  15,            0.069875,             0.05698,           0.0029675,             0.47912,             0.58645,             0.47452,             0.13699,            0.040865,            0.066084,           0.0013055,           0.0013109,           0.0013109,            0.069411
                  16,            0.065935,            0.056045,           0.0032253,             0.50219,             0.61696,             0.53733,             0.16107,            0.042113,            0.067806,            0.001182,            0.001215,            0.001215,            0.067315
                  17,            0.065967,            0.056698,           0.0032032,             0.56329,             0.61199,             0.57776,             0.16863,            0.039458,            0.066004,           0.0011075,           0.0011089,           0.0011089,            0.065209
                  18,            0.065256,            0.055656,           0.0027517,             0.55322,             0.62054,             0.54438,             0.16686,            0.036298,            0.068172,           0.0010439,          0.00099737,          0.00099737,            0.063097
                  19,            0.060973,             0.05751,           0.0023951,             0.54957,             0.63656,             0.56631,             0.16749,            0.038965,             0.06657,           0.0009594,          0.00088564,          0.00088564,            0.060986
                  20,             0.05947,            0.057223,           0.0026226,              0.6275,             0.67252,             0.63915,             0.21134,            0.035602,            0.067423,          0.00092055,           0.0007791,           0.0007791,            0.058879
                  21,             0.05959,            0.055337,           0.0023206,             0.71706,             0.67644,             0.72109,             0.24211,            0.034068,            0.065908,          0.00087755,          0.00068336,          0.00068336,            0.056783
                  22,            0.055318,            0.054476,           0.0022734,             0.75123,             0.65307,             0.72584,             0.24157,            0.033404,            0.066405,          0.00084903,          0.00060405,          0.00060405,            0.054704
                  23,            0.056087,            0.055317,           0.0022089,             0.69742,             0.70527,             0.72201,             0.24602,            0.036431,              0.0663,          0.00080634,          0.00054672,          0.00054672,            0.052647
                  24,            0.057033,            0.056022,           0.0019674,             0.74385,             0.65152,             0.71731,             0.24888,            0.033774,            0.065618,          0.00080925,          0.00051671,          0.00051671,            0.050617
